id,subject,description,resolution,priority,created_at
R-1001,Cancel before renewal,"I cancelled this morning. Will my workspace stay active until the end of the month?","Confirmed cancellation; access remains until the current billing period ends.",normal,2026-05-03
R-1002,Where is the cancel button,"I am an owner but cannot find where to cancel our Pro subscription.","Directed owner to Settings > Billing > Manage subscription > Cancel plan.",normal,2026-05-05
R-1003,Can an admin cancel,"Can our workspace admin cancel or does it have to be the account owner?","Only the workspace owner can cancel the subscription.",normal,2026-05-08
R-1004,Reactivate cancelled workspace,"We cancelled yesterday but changed our mind. Can we restore the subscription before it ends?","Owner reactivated from Billing before the period end date.",normal,2026-05-09
R-1005,Data after cancellation,"What happens to our projects when the paid period ends?","Explained that the workspace becomes read-only for 30 days before deletion review.",high,2026-05-11
R-1006,Refund after annual cancellation,"We cancelled our annual plan after two weeks. Are we eligible for a refund?","Approved a full refund because the request was within the 14-day first-purchase window.",high,2026-05-14
R-1007,Prorated refund for unused months,"We have ten months left on annual billing. Will those months be refunded?","Denied prorated refund because the request was outside the 14-day first-purchase window.",normal,2026-05-15
R-1008,Charged after cancelling,"I cancelled on renewal day but the card was charged. Can the charge be reversed?","Refunded because cancellation occurred before the renewal cutoff timestamp.",urgent,2026-05-18
R-1009,Refund for accidental renewal,"We forgot to cancel and renewed yesterday. Can you make an exception?","Approved one-time renewal refund requested within 48 hours with no post-renewal usage.",high,2026-05-20
R-1010,Monthly plan refund,"I cancelled a monthly plan after five days. Do monthly plans get the 14-day refund window?","Confirmed the 14-day first-purchase window applies to monthly and annual plans.",normal,2026-05-22
R-1011,Second subscription refund,"We previously had Pro, returned this month, and cancelled. Does the cooling-off period apply again?","Denied because the 14-day window applies only to the first paid subscription per workspace.",normal,2026-05-25
R-1012,Refund after downgrading,"We downgraded from Business to Pro. Can we get back the price difference?","Issued account credit for the unused Business portion; no cash refund.",normal,2026-05-28
R-1013,Refund to closed card,"Our refund was approved but the original card is closed. Where will the money go?","Refund must return to the original payment method; customer was told to contact the card issuer.",high,2026-06-01
R-1014,How long does a refund take,"Support approved our cancellation refund. When should it appear?","Advised 5–10 business days after approval depending on the bank.",normal,2026-06-02
I-2001,Wrong company name on invoice,"Our May invoice has our old legal entity. Can it be corrected?","Updated billing profile and regenerated the latest invoice.",normal,2026-05-04
I-2002,Add VAT number,"Where can I add our VAT ID so it appears on future invoices?","Directed owner to Billing profile > Tax information; future invoices update automatically.",normal,2026-05-07
I-2003,Correct an older invoice,"Can you change the address on an invoice from six months ago?","Historical finalized invoice could not be edited; issued a correction note.",normal,2026-05-12
I-2004,Download all invoices,"I need every invoice from this year for our audit.","Directed user to Billing > Invoices and the Download all CSV action.",low,2026-05-17
I-2005,Invoice currency change,"Can our USD invoice be reissued in EUR?","Denied reissue; currency changes apply from the next billing period.",normal,2026-05-24
S-3001,Configure SAML SSO,"How do I connect Okta SAML to our Business workspace?","Followed the admin guide and verified metadata, ACS URL, and domain.",high,2026-05-02
S-3002,SSO certificate expired,"Users see a signature validation error after our certificate rotation.","Uploaded the new IdP certificate and re-tested the connection.",urgent,2026-05-10
S-3003,Enforce SSO,"Can we require SSO for everyone after testing it?","Enabled Enforce SSO after verifying a recovery admin login.",high,2026-05-16
S-3004,SSO on Pro plan,"I cannot see SAML settings in our Pro workspace.","Explained SAML SSO is available only on Business and Enterprise.",normal,2026-05-19
S-3005,Multiple verified domains,"Can one workspace verify two company domains for SSO?","Confirmed multiple domains are supported but each must be verified separately.",normal,2026-05-30
U-4001,Remove a paid seat,"We removed a teammate. When does our billed seat count change?","Seat count dropped immediately; credit applies on the next invoice.",normal,2026-05-06
U-4002,Add seats mid-cycle,"If we add three people today, are the new seats prorated?","Confirmed added seats are prorated for the remaining billing period.",normal,2026-05-13
U-4003,Transfer workspace ownership,"Our owner left the company. How can an admin take ownership?","Verified company-domain admin and completed an ownership recovery workflow.",high,2026-05-21
U-4004,Guest versus member,"Does a read-only guest consume a paid seat?","Confirmed guests do not consume seats on Business, subject to guest limits.",normal,2026-05-27
E-5001,CSV row limit,"My analytics CSV stops at 10,000 rows. Is that the maximum?","Explained Business is limited to 10,000 rows per export.",normal,2026-05-01
E-5002,Enterprise export limit,"Our Enterprise export stops at 10,000 rows even though sales promised more.","Enabled the Enterprise 50,000-row entitlement and re-ran the export.",high,2026-05-20
E-5003,Export all events,"Can an Enterprise admin export 45,000 audit events in one CSV?","Confirmed Enterprise supports up to 50,000 rows per export.",normal,2026-05-26
E-5004,Split a large export,"How do we export 80,000 records without losing rows?","Recommended two date-range exports because even Enterprise caps each file at 50,000 rows.",normal,2026-06-03
